diaglocalcode,diagnosis
DC1682,Other keratitis
DC1683,Sequelae of unspecified injury of upper limb
DC1684,Myelodysplastic syndrome_ unspecified
DC1685,Febrile convulsions
DC1686,Other female genital prolapse
DC1688,Progressive vascular leukoencephalopathy
DC1689,Solid Carcinoma NOS
DC169,Subacute and chronic vaginitis
DC1690,Trimalleolar fracture_ ankle
DC1691,Diffuse sclerosis
DC1695,Tick-borne viral encephalitis_ unspecified
DC1696,Injury of stomach_ without open wound into cavity
DC1699,Manic episode_ unspecified
DC17,Aortic(valve) insufficiency
DC1700,Infection of intervertebral disc(pyogenic)_ multiple sites in spine
DC1701,Infection and inflammatory reaction due to other internal orthopedic prosthetic devices_ implants and grafts
DC1707,Contact with nonpowered hand tool_ unspecified place
DC1709,Coronary artery aneurysm
DC1714,Contracture of joint_ hand(carpus_ fingers_ metacarpus)
DC1717,Tumor Cells_ Benign
DC1719,Foreign body in pharynx
DC1720,Disorders of other specified cranial nerves
DC1723,Spinal instabilities_ site unspecified
DC1724,Other degenerative disorders of globe
DC1725,Asperger's syndrome
DC1726,Fracture of other specified cervical vertebra_ closed
DC1727,Multi-system degeneration
DC1729,Other specified functional intestinal disorders
DC1731,Idiopathic urticaria
DC1732,Chronic mastoiditis
DC1734,Glioma_ Malignant
DC1735,Unspecified drowning and submersion_ sports and athletics area
DC1737,Allergic contact dermatitis due to other chemical products
DC1739,Peritonitis_ unspecified
DC1740,Arthropathic psoriasis
DC1741,Single spontaneous delivery_ unspecified
DC1743,Anal polyp
DC1744,Subluxation of symphysis(pubis) in pregnancy_ childbirth and the puerperium
DC1745,Drug-induced fever
DC1748,Unspecified pedal cyclist injured in collision with fixed or stationary object in traffic accident
DC1750,Fracture of talus_ open
DC1752,Renal tubulo-interstitial disorders in systemic connective tissue disorders
DC1753,Idiopathic gout_ lower leg(fibula_ tibia_ knee joint)
DC1754,Sequelae of unspecified nutritional deficiency
DC1755,Hypotension_ unspecified
DC1757,Malignant neoplasm of lower lip_ unspecified
DC176,Nonspecific symptoms peculiar to infancy
DC1760,Benign neoplasm of bronchus and lung
DC1762,Noninflammatory disorder of vagina_ unspecified
DC1765,Neuralgia and neuritis_ unspecified_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC1768,Malignant neoplasm of pancreatic duct
DC1769,Foreign body in larynx
DC177,Drug-induced osteoporosis_ multiple sites
DC1770,Recurrent dislocation and subluxation of join_ upper arm(humerus_ elbow joints)
DC1772,Other soft tissue disorders in diseases classified elsewhere_ upper arm (humerus_ elbow joints)
DC1773,Retained(old) intraocular foreign body_ magnetic
DC1774,Osteoporosis in endocrine disorders_ site unspecified
DC1775,Malignant neoplasm of upper gum
DC1776,Enterocolitis due to Clostridium difficile
DC1777,Pemphigus erythematosus
DC1778,Vertical strabismus
DC178,Other specified injuries of head
DC1781,Failure of sterile precautions during kidney dialysis or other perfusion
DC1782,Sprain and strain of joints and ligaments of other and unspecified parts of head
DC1785,Algoneurodystrophy_ shoulder region
DC1788,Delirium superimposed on dementia
DC1789,Multiple fracture of lumbar spine and pelvis_ Closed
DC179,Endocarditis_ valve unspecified
DC1790,Foreign body in vulva and vagina
DC1791,Hemangiopericytoma_ Benign 
DC1792,Obstructed labour due to pelvic outlet and mid-cavity contraction
DC1793,Injury of nerve root of cervical spine
DC1795,Fracture of unspecified body region
DC1796,Acne_ unspecified
DC1798,Fracture of calcaneus_ closed
DC18,Malignant neoplasm of anterior two-thirds of tongue_ part unspecified
DC1800,Special screening examination for neoplasm of breast
DC1802,Prolapse of vaginal vault after hysterectomy
DC1803,Fracture of pubis_ closed
DC1804,Analgesic nephropathy
DC1805,Poisoning by anthelmintics
DC1808,Traumatic amputation of both hands
DC1809,Stage II decubitus ulcer and pressure area
DC1810,Renal osteodystrophy
DC1814,Other surgical procedures as the cause of abnormal reation of the patient_ or of later complication_ without mention of misadventure at the time of the procedure
DC1816,Sleep terrors(�����) [night terrors]
DC1817,Rash and other nonspecific skin eruption
DC1818,Chondrocostal junction syndrome [Tietze]_ other
DC1819,Gender identity disorder_ unspecified
DC182,Thymoma_ Malignant (C37)
DC1821,Postpartum thyroiditis
DC1823,Galactorrhea not associated with childbirth
DC1825,Unspecified disorder of psychological development
DC1826,Malignant neoplasm of ureter
DC1828,Mucinosis of skin
DC1829,Adverse effects_ unspecified
DC183,Sepsis_ unspecified
DC1830,Traumatic amputation of shoulder and upper arm_ level unspecified
DC1832,Mineralocorticoid antagonists [aldosterone antagonists] causing adverse effects in therapeutic use
DC1834,Cardiac arrest with successful resuscitation
DC1836,Acute hematogenous osteomyelitis_ site unspecified
DC1837,Malignant neoplasm of stomach
DC184,Alcohol-induced pseudo-Cushing's syndrome
DC1841,Other habit and impulse disorders
DC1842,Unspecified abdominal hernia with gangrene
DC1844,Pseudomonas(aeruginosa)as the cause of diseases classified to other chapters
DC1845,Sudden idiopathic hearing loss
DC1847,Placental Site Trophoblastic Tumor (D39.2)
DC1848,Drug-induced chorea
DC185,Adrenogenital disorder_ unspecified
DC1850,Acute gastric ulcer without hemorrhage or perforation
DC1852,Postinflammatory hyperpigmentation
DC1853,Idiopathic gout_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC1855,Other specified intestinal helminthiases
DC1857,Mumps with other complication
DC1859,Lymphoid Leukemia NOS (C91.9)
DC186,Fat embolism (traumatic)
DC1860,Sarcoidosis of lung
DC1861,Other inflammatory diseases of prostate
DC1862,Intrauterine synechiae
DC1863,Bipolar affective disorder_ current episode manic without psychotic symptoms
DC1864,Strumal Carcinoid (D39.1)
DC1865,Juvenile rheumatoid arthritis_ multiple sites
DC1866,Cerebral edema
DC1867,Agoraphobia
DC1868,Foreign body entering into or through eye or natural orifice_ unspecified place
DC1869,Disorder of parathyroid gland_ unspecified
DC187,Malignant neoplasm of posterior wall of hypopharynx
DC1872,Malignant neoplasm of Meckel's diverticulum
DC1876,Internal derangement of knee_ unspecified_ Other and unspecified lateral meniscus
DC1877,Other chorea
DC1880,Other and multiple fracture of lower end of humerus
DC1883,Nasal polyp_ unspecified
DC1884,Keratitis and keratoconjunctivitis in other diseases classified elsewhere
DC1885,Pseudohypoparathyroidism
DC1886,Other mitral valve diseases
DC1887,Unspecified hemorrhoids without complication
DC1889,Focal cerebral hematoma
DC1890,Passenger of car injured in collision with fixed or stationary object in nontraffic accident
DC1891,Fracture of metatarsal bone_ closed
DC1893,Other specified localized connentive tissue disorders
DC1894,Systemic involvement of connective tissue_ unspecified
DC1895,Interstitial nephritis_ NOS_ not specified as acute or chronic
DC1896,Idiopathic aplastic anemia
DC1899,Malignant neoplasm of clitoris
DC19,Chronic nasopharyngitis
DC190,Open wound of upper limb_ level unspecified
DC1901,Alzheimer's disease with early onset
DC1902,Other chronic nephritic syndrome
DC1903,Hypertensive heart disease without (congestive) heart failure
DC1905,Drug induced cataract
DC1906,Bronchiolo-Alveolar Adenocarcinoma
DC1907,Myositis_ unspecified_ shoulder region(clavicle_ scapula_ acromioclavicular joints_ glenohumeral joints_ sternoclavicular joints)
DC1908,Staphylococcus aureus as the cause of diseases classified to other chapters
DC191,Other alopecia areata
DC1913,Collapsed vertebra NEC_ cervicothoracic region
DC1914,Acute mastoiditis
DC1915,Injury of deep peroneal nerve at ankle and foot level
DC1917,Osteoarthritis_ unspecified
DC1918,Occupational therapy and vocational rehabilitation_ NEC
DC1919,Other nail disorders
DC1922,Pleural effusion_ NEC
DC1924,Other spondylosis with radiculopathy_ site unspecified
DC1927,Meningococcal meningitis
DC1929,Other specified renal tubulo-interstitial diseases
DC1931,Fracture of femur_part unspecified_ closed
DC1932,Other specified infections specific to the perinatal period
DC1937,Acute appendicitis with generalized peritonitis
DC1939,Other disorders of sclera
DC194,Other diffuse cerebral and cerebrellar injury
DC1942,Melanoma in situ of upper limb_ including shoulder
DC1944,Dissociative stupor
DC1945,Disease of biliary tract_ unspecified
DC1946,Hypertensive encephalopathy
DC1947,Dislocation of lens
DC1949,Wheezing
DC195,Malignant Lymphoma NOS
DC1951,Unattended death
DC1952,Unilateral or unspecified inguinal hernia_ with gangrene
DC1953,Dysplastic Nevus
DC1955,Malignant neoplasm of aryepiglottic fold_ hypopharyngeal aspect
DC1958,Other specified disorders of mulcle_ site unspecified
DC196,Malignant neoplasm of anterior surface of epiglottis
DC1960,Lobar pneumonia_ unspecified
DC1961,Osteoblastoma NOS
DC1963,Fracture of ramus
DC1964,Collapsed vertebra NEC_ multiple sites in spine
DC1966,Other neuromuscular dysfunction of bladder
DC1968,Neurilemmoma NOS
DC1969,Sequelae of certain early complications of trauma
DC197,Irritable bowel syndrome with diarrhea
DC1972,Benign neoplasm of nasopharynx
DC1975,Malignant neoplasm of bronchus or lung_ unspecified
DC1977,Toxic effect of ethanol
DC1978,Fracture of shaft of clavicle
DC1981,Intraventricular hemorrhage due to birth injury
DC1982,Internal derangement of knee_ unspecified_ Medial collateral ligament or other and unspecified medial meniscus
DC1983,Vascular parkinsonism
DC1985,Other and unspecified drugs primarily affecting the autonomic nervous system causing adverse effects in therapeutic use
DC1987,Thymoma_ type B1_ NOS
DC1988,Pneumonia due to Mycoplasma pneumoniae
DC1989,Poikiloderma of Civatte
DC1992,Unspecified pneumoconiosis
DC1993,Other and unspecified abnormalities of breathing
DC1994,Other multiple fracture involving skull and facial bones
DC1997,Amebic brain abscess
DC1998,Malignant neoplasm of eye_ unspecified
DC200,Traumatic rupture of lumbar intervertebral disc
DC2001,Other myositis_ lower leg(fibula_ tibia_ knee joint)
DC2002,Allergic contact dermatitis due to cosmetics
DC2004,Scleritis
DC2006,Gammaherpesviral mononucleosis
DC2007,Islet Cell Tumor_ NOS
DC2008,Other specified demyelinating diseases of central nervous system
DC2009,Flexion deformity_ site unspecified
DC201,Juvenile osteochondrosis of head of femur[Legg Calve Perthes]
DC2010,Pyoderma gangrenosum
DC2011,Other inherited spinal muscular atrophy
DC2014,Erythema ab igne [dermatitis ab igne]
DC2016,Serous retinal detachment
DC2017,Sprain and stain of other and unspecified parts of thorax
DC2018,Flail joint_ site unspecified
DC2021,Low income
DC2023,Malignant neoplasm of overlapping lesion of eye and adnexa
DC2024,Other specified noninfective disorders of lymphatic vessels and lymph nodes
DC2025,Labour and delivery complicated by umbilical cord complications
DC2026,Other specified endocrine disorders
DC2027,Depersonalization-derealization syndrome(������-����������)
DC2028,Lumbago with Sciatica_ lumbar region
DC2029,Burns involving 20-29% of body surface
DC203,Neonatal jaundice from breast milk inhibitor
DC2030,Hereditary disturbances in tooth structure_ NEC
DC2035,Malignant neoplasm of parietal lobe
DC2037,Gilbert's syndrome
DC2039,Occlusion and stenosis of unspecified cerebral artery
DC2040,Cardiomegaly
DC2041,Other specified disorders of peritoneum
DC2042,Accidental poisoning by and exposure to alcohol_ unspecified place
DC2044,Thyrotoxicosis with toxic multinodular goiter
DC2048,Specific speech articulation disorder
DC205,Other soft tissue disorders in diseases classified elsewhere_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC2051,Obstructed labour due to shoulder dystocia
DC2053,Unspecified frostbite of unspecified site
DC2055,X-ray contrast media causing adverse effects in therapeutic use
DC2057,Gastroduodenitis_ unspecified
DC2058,Chronic periodontitis
DC206,Attic perforation of tympanic membrane
DC2060,Persons encountering health services in unspecified circumstances
DC2061,Injury of inferior vena cava
DC2063,Post-schizophrenic depression
DC2064,Freckles
DC2065,Injury of flexor muscle and tendon of other finger at wrist and hand level
DC2066,Disorders of optic nerve_ NEC
DC2067,Fracture of lower end of tibia with fracture of fibula(any part)
DC2069,Hyperimmunoglobulin E[lgE] syndrome
DC2070,Chronic tubulo-interstitial nephritis_ unspecified
DC2072,Injury of peroneal nerve at lower leg level
DC2073,Toxic shock syndrome
DC2074,Glomus Jugulare Tumor (D44.7)
DC2075,Infection and inflammatory reaction due to other internal prosthetic devices_implants and grafts
DC2076,Esophageal varices without bleeding
DC208,Mucinous Cystadenoma NOS (D27)
DC2080,Arthritis_ unspecified_ lower leg(fibula_ tibia_ knee joint)
DC2081,Other specified acute disseminated demyelination
DC2083,Bitten or struck by dog_ unspecified place
DC2084,Analgesics_ antipyretics and anti-inflammatory drug_ unspecified causing adverse effects in therapeutic use
DC2085,Neoplasm of uncertain or unknown behavior of peritoneum
DC2087,Recurrent depressive disorder_ current episode mild
DC2089,Edema of larynx
DC209,Japanese encephalitis
DC2093,Other ossification of muscle_ site unspecified
DC2094,Serous Cystadenocarcinoma_ Metastatic
DC2095,Postmenopausal osteoporosis with pathological fracture_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC2097,Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID]
DC2098,Moderate alcohol intoxication
DC2099,Sequelae of other sepcified burn_ corrosion and frostbite
DC21,Traumatic amputation of lower leg_ level unspecified
DC210,Toxic effect of organophosphate and carbamate insecticides
DC2101,Other specified disorders of skin and subcutaneous tissue
DC2102,Other tricuspid valve dieases
DC2104,Injury of spleen_ with open wound into cavity
DC2105,Sore
DC2106,Meningococcemia_ unspecified
DC2107,Injury of kidney_ without open wound into cavity
DC2108,Stricture of artery
DC211,Other benign neoplasms of corpus uteri
DC2111,Methemoglobinemia_ unspecified
DC2112,Drowning and nonfatal submersion
DC2113,Cornea donor
DC2114,Mitochondrial myopathy_ NEC
DC2115,Chronic or unspecified gastric ulcer with both hemorrhage and perforation
DC2116,Hypertensive heart and renal disease with (congestive) heart failure
DC2117,External hemorrhoids with other complications
DC2122,Superficial injury of head_ part unspecified
DC2123,Other iridocyclitis
DC2125,Toxic erythema
DC2126,Unspecified abnormal findings in specimens from respiratory organs and thorax
DC2128,Degenerated conditions of globe
DC2129,Caries limited to enamel
DC213,Painful micturition_ unspecified
DC2130,Malignant neoplasm_ unspecified
DC2131,Other acute non-suppurative otitis media
DC2135,Labour and delivery complicated by fetal heart rate anomaly with meconium in amniotic fluid
DC2136,Nausea and vomiting                                                                                           
DC2138,Ocular pemphigoid
DC2139,Inadequate family support
DC214,Malignant neoplasm of independent (primary) multiple sites
DC2140,Hemangioblastoma
DC2143,Other meniscus derangement_ multiple sites
DC2145,Combined traumatic amputation of (part of) finger(s) with other parts of wrist and hand
DC2148,Bilateral inguinal hernia_ without obstruction or gangrene                                                                        
DC2149,Superficial frostbite of hip and thigh
DC215,Hanging_ strangulation and suffocation_ undetermined intent_ unspecified place
DC2150,Other disorders of pituitary gland
DC2151,Acute renal failure with tubular necrosis
DC2152,Effusion of joint_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC2158,Other osteoporosis_ site unspecified
DC2160,Examination and observation following alleged rape and seduction
DC2162,Injury of popliteal artery
DC2164,Fitting and adjustment of hearing aid
DC2165,Nephrotic syndrome with focal and segmental glomerular lesions
DC2167,Intracerebral hemorrhage_ multiple localized
DC2168,Nonunion of fracture[pseudarthrosis]_ site unspecified
DC2169,Other chronic hepatitis_ NEC
DC217,Benign neoplasm of meninges_ unspecified
DC2170,Cystic fibrosis with pulmonary manifestations
DC2171,Other leukemia of unspecified cell type
DC2172,Unspecified organic personality and behavioral disorder due to brain disease_ damage and dysfunction
DC2173,Malignant neoplasm of frontal lobe
DC2175,Chronic or unspecified gastric ulcer with perforation
DC2176,Mixed asthma
DC2177,Tuberculosis of larynx_ trachea and bronchus_ confirmed bacteriologically and histologically
DC2180,Desmoplastic Fibroma
DC2183,Open wound of other and unspecified external genital organs
DC2184,Mechanical complication of urinary (indwelling) catheter
DC2185,Other chorioretinal disorders in diseases classified elsewhere
DC2187,Subluxation complex_ abdomen and other
DC2188,Neuralgia and neuritis_ unspecified_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC2189,Open fracture of other and unspecified parts of lumbar spine and pelvis
DC219,Inhalation and ingestion of other objects causing obstruction of respiratory tract_ other specified places
DC2191,Open fracture of upper end of ulna
DC2193,Toxic effect of inorganic substnace_ unspecified
DC2195,Specific (isolated) phobias
DC2196,Focal cerebral contusion
DC2197,Injury of colon_without open wound into cavity
DC2199,Need for immunization against influenza
DC22,Malignant neoplasm of sigmoid colon
DC220,Unspecified injury of hip and thigh
DC2200,Injury of flexor muscle and tendon of other finger(s) at forearm level
DC2201,Cardiac arrest_ unspecified
DC2202,Pyoderma
DC2203,Other and unspecified cirrhosis of liver
DC2205,Rectal prolapse
DC2206,Fracture of medial malleolus_ open
DC2207,Migraine without aura [common migraine]
DC2209,Mycobacterial infection_ unspecified
DC221,Benign neoplasm of orbit_ unspecified
DC2212,Epidemic vertigo
DC2213,Need for immunization against other specified single viral diseases
DC2214,Dislocation of other and unspecified parts of head
DC2216,Perichondritis of external ear
DC2217,Paralytic strabismus_ unspecified
DC2219,Other infectious mononucleosis
DC222,Noninfective disorder of lymphatic vessels and lymph nodes_ unspecified
DC2220,Benign neoplasm of pancreas
DC2223,Rupture of posterior cruciate ligament
DC2224,Supracondylar fracture of femur
DC2225,Dislocation of other and unspecified parts of lumbar spine and pelvis
DC2227,Poisoning by salicylate
DC2228,Localization related (focal_ partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
DC2229,Superficial frostbite of other and unspecified sites
DC2230,Acquired deformity of chest and rib
DC2233,Other Juvenile arthritis_ lower leg(fibula_ tibia_ knee joint)
DC2235,Idiopathic gout_ multiple sites
DC2236,Impacted teeth
DC2237,Traumatic amputation of forearm_ level unspecified
DC2238,Crushing injury of hip with thigh
DC2239,Essential(primary) hypertension
DC2240,Unspecified trauma
DC2245,Disorders of multiple cranial nerves
DC2246,Spondylolisthesis_ lumbar region
DC2247,Disorder of middle ear and mastoid_ unspecified
DC2249,Tricuspid valve diease_ unspecified
DC225,Pain in thoracic spine_ thoracolumbar region
DC2250,Anetoderma of Jadassohn-Pellizzari
DC2253,Hyperchylomicronemia
DC2254,Myocarditis in other infectious and parasitic diseases classified elsewhere
DC2255,Reaction to severe stress_ unspecified
DC2256,Superficial injury of lower limb_ level unspecified
DC2259,Malignant neoplasm of aortic body and other paraganglia
DC2260,Other superficial injury of wrist and hand
DC2261,Other restrictive cardiomyopathy
DC2264,Pneumonitis due to oils and essences
DC2267,Reactive arthropathy in other diseases classified elsewhere_ multiple sites
DC2268,Tarsal tunnel syndrome
DC227,Other specified diseases of spinal cord
DC2272,Cerebral venous thrombosis in pregnancy
DC2273,Fracture of shoulder girdle_part unspecified_ closed
DC2274,Enthesopathy_ unspecified_ ankle and foot (metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC2275,Kissing spine_ site unspecified
DC2276,Acoustic neuritis in infectious and parasitic diseases classified elsewhere
DC2278,Follow-up examination after other treatment for other conditions
DC228,Corrosion of unspecified degree of hip and lower limb_ except ankle and foot
DC2280,Collapsed vertebra NEC_ site unspecified
DC2281,Nonunion of fracture[pseudarthrosis]_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint)_ sacroiliac joint)
DC2284,Volume depletion
DC2286,Sudden cardiac death_ so described
DC2288,Emphysema_ unspecified
DC2289,Myelodysplastic Syndrome_ NOS (D46.9)
DC2291,Melanocytic naevi of upper limb_ including shoulder
DC2292,Diverticular disease of large intestine without perforation or abscess
DC2293,Other secondary gout_ lower leg(fibula_ tibia_ knee joint)
DC2294,Other lacunar syndromes
DC2295,Foreign body in conjunctival sac
DC2296,Malignant neoplasm of lymphoid_ hematopoietic and related tissue_ unspecified
DC2298,Hypoparathyroidism_ unspecified
DC23,Granulomatous hepatitis_ NEC
DC2300,Carrier of viral hepatitis
DC2301,Subtrochanteric fracture of femur_ closed
DC2302,Malignant neoplasm of craniopharyngeal duct
DC2303,Benign neoplasm of adrenal gland
DC2304,Night blindness
DC2305,Radiculopathy_ multiple sites in spine
DC2307,Vesicoureteral reflux associated uropathy
DC2309,Lassa fever
DC231,Papillary Adenoma NOS
DC2310,Contusion of front wall of thorax
DC2311,Polyarteritis with lung involvement[Churg-Strauss]
DC2312,Exposure to excessive heat of man-made origin_ street and highway
DC2313,Allergic contact dermatitis due to adhesives
DC2315,Injury of unspecified nerve at lower leg level
DC2319,Injury of radial artery at forearm level
DC2320,Mucocele of salivary gland
DC2321,Postsurgical malabsorption osteoporosis_ site unspecified
DC2322,Open wound of scalp
DC2323,Fracture of sternum_Closed
DC2324,Late vomiting of pregnancy
DC2326,Chronic hepatitis_ unspecified
DC2328,Grand mal seizures_ unspecified (with or without petit mal)
DC233,Contusion of breast
DC2330,Subcortical vascular dementia
DC2331,Metastasizing leiomyoma
DC2332,Fracture of acetabulum_ closed
DC2334,Inflammatory conditions of jaws
DC2335,Hemophilus meningitis
DC2337,Hemophagocytic lymphohistiocytosis
DC2338,Acute peptic ulcer_ site unspecified with perforation
DC234,Foreign body in other and mulitple parts of alimentary tract
DC2340,Other histiocytosis syndromes
DC2341,Multiple superficial injuries of neck
DC2342,Gastrointestinal Stromal Tumor_ Benign.
DC2343,Invasive Hydatidiform Mole (D39.2)
DC2345,Rotaviral enteritis
DC2346,Mixed and other personality disorders
DC2347,Normal-pressure hydrocephalus
DC2348,Major anomalies of jaw size
DC2349,Disorder of facial nerve_ unspecified
DC235,Intervertebral disc stenosis of neural canal_ abdomen and other
DC2350,Open fracture of upper end of humerus
DC2351,Malignant neoplasm of ureteric orifice
DC2352,Acute peptic ulcer_ site unspecified with hemorrhage
DC2353,Other internal derangement of knee_ unspecified meniscus or ligament
DC2356,Stenosis and insufficiency of lacrimal passages
DC2358,Enlarged lymph nodes_ unspecified
DC236,Other secondary scoliosis_ site unspecified
DC2360,Mumps pancreatitis
DC2361,Localized hyperhidrosis
DC2364,Hyperplasia of appendix
DC2365,Fracture of upper end of humerus_ part unspecified
DC2366,Accidental poisoning by and exposure to other and unspecified drugs_ medicaments and biological substances_ residential institution
DC2368,Teratoma NOS
DC2369,State of emotional shock and stress_ unspecified
DC237,Spasmodic torticollis
DC2371,Other spondylosis_ multiple sites in spine
DC2375,Cardiac murmur_ unspecified
DC2377,Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs
DC2378,Hereditary factor XI deficiency
DC2379,Other hyperparathyroidism
DC2380,Contusion of elbow
DC2381,Benign neoplasm of brain_ infratentorial
DC2382,Burns of multiple regions_ no more than second-degree burns mentioned
DC2383,Stridor
DC2384,Other myelodysplastic syndromes
DC2386,Fetus and newborn affected by multiple pregnancy
DC2387,Sepsis of newborn due to anaerobes
DC2388,Spondylosis_ unspecified_ cervical region
DC2389,Injury of pulmonary blood vessels
DC239,Malnutrition related diabetes mellitus with peripheral circulatory complications
DC2390,Abrasion of teeth
DC2391,Benign lipomatous neoplasm of spermatic cord
DC2395,Injury of heart_ unspecified_ without open wound into thoracic cavity
DC2398,Injury of brachial plexus
DC2399,Follow-up care involving plastic surgery of breast
DC24,Other secondary coxarthrosis
DC240,Malignant neoplasm of ovary
DC2400,Chronic prostatitis
DC2401,Drowning and submersion_ undetermined intent_ home
DC2404,Papilloma (Except Papilloma of Urinary Bladder M8120/1) NOS
DC2406,Open fracture of other metacarpal bone
DC2409,Central retinal artery occlusion
DC241,Irregular menstruation_ unspecified
DC2410,Keratoderma in diseases classified elsewhere
DC2411,Idiopathic hypoparathyroidism
DC2412,Dementia in other specified diseases classified elsewhere
DC2415,Problems related to primary support group_ unspecified
DC2416,Injury of peripheral nerve(s) of abdomen_ lower back and pelvis
DC2417,Syncope and collapse
DC2419,Injury of unspecified blood vessel of thorax
DC242,Meningitis in other specified infectious and parasitic diseases classified elsewhere
DC2420,Unspecified acute lower respiratory infection
DC2426,Tuberculosis of spine_ thoracolumbar region
DC2427,Traumatic rupture of ligament of wrist and carpus
DC2429,Injury of other extensor muscle and tendon at forearm level
DC2430,Benign neoplasm of  parathyroid gland
DC2434,Other bursitis of elbow
DC2437,Other mononeuropathies of upper limb
DC2440,Tuberculosis of spine_ cervical region
DC2441,Nonpyogenic meningitis
DC2442,Other seasonal allergic rhinitis
DC2443,Myalgia_ multiple sites
DC2446,Spastic quadriplegic cerebral palsy
DC2448,Chronic maxillary sinusitis
DC245,Neoplasm of uncertain or unknown behavior of cerebral meninges
DC2450,Malignant neoplasm of cerebral meninges
DC2451,Malignant neoplasm of fundus of stomach                                                                                            
DC2452,Traumatic ischemia of muscle
DC2455,Allergy_ unspecified
DC2457,Low back pain_ lumbar region
DC2458,Acquired deformity of neck
DC246,Unspecified osteomyelitis_ hand (carpus_ fingers_ metacarpus_ joints between these bones)
DC2463,Other secondary gonarthrosis_ bilateral
DC2464,Pain in limb_ lower leg (fibula_ tibia_ knee joint)
DC2467,Chyliform effusion
DC2469,Other mixed disorders of conduct and emotions
DC247,Tuberculous peritonitis
DC2471,Nonadministration of surgical and medical care
DC2474,Injury of other intra-abdominal organs_ with open wound into cavity
DC2475,Other noninflammatory disorders of ovary_ fallopian tube and broad ligament
DC2476,Junctional Nevus NOS
DC2477,Generalized skin eruption due to drugs and medicaments
DC2478,Other specified diseases of pericardium
DC2480,Cyst and mucocele of nose and nasal sinus
DC2481,Mitral valve disorders in diseases classified elsewhere
DC2483,Kernicterus_ unspecified
DC2484,Fracture of L2 level
DC2485,Neoplasm of uncertain or unknown behavior of skin
DC2489,Open fracture of shaft of tibia
DC2493,Other iron deficiency anemia s
DC2499,Massive pulmonary hemorrhage originating in the perinatal period
DC25,Iron deficiency
DC2501,Acquired clawhand_ clubhand_ clawfoot and clubfoo_ ankle and foot(metatarsus_ tarsus_ toes_ ankle joint_ other joints in foot)
DC2503,Chronic leukemia of unspecified cell type
DC2505,Arthrosis_ unspecified_ multiple sites
DC2508,Neuralgia and neuritis_ unspecified_ shoulder region (clavicle_ scapula_ acromioclavicular joints_ glenohemeral joints_ sternoclavicular joints)
DC251,Exposure to other and unspecified animate mechanical forces_ unspecified place
DC2510,Other benign neoplasms of skin of ear and external auricular canal
DC2511,Abnormal results of liver function studies
DC2512,Injury of other nerves at lower leg level
DC2513,Open fracture of shaft of radius
DC2514,Tricuspid insufficiency
DC2516,Chromomycosis_ unspecified
DC2517,Syringoma NOS
DC2519,Complicated cataract
DC252,Sequelae of subarachnoid hemorrhage
DC2521,Hereditary hemorrhagic telangiectasia
DC2525,Tuberculosis meninges
DC2527,Sciatica_site unspecified
DC2528,Eating disorder_ unspecified
DC253,Penetrating wound of orbit with or without foreign body
DC2530,Socialized conduct disorder
DC2532,Poisoning by other and unspecified agents primarily affecting the cardiovascular system
DC2534,Conjunctival scars
DC2535,Amebic nondysenteric colitis
DC2537,Other specified cardiac arrhythmias
DC2538,Pericarditis in bacterial diseases classified elsewhere
DC2539,Secondary biliary cirrhosis
DC2544,Hyphaema
DC2546,Other benign neoplasms of skin of upper limb_ including shoulder
DC2548,Poisoning by calcium-channel blockers
DC2549,Dissection of cerebral arteries_ nonruptured
DC255,Adult hypertrophic pyloric stenosis
DC2550,Benign neoplasm of ascending colon
DC2551,Crushing injury of ankle
DC2552,Other cytomegaloviral diseases
DC2553,Diagnostic skin and sensitization tests
DC2554,Ectopic ACTH[adrenocorticotropic hormone] syndrome
DC2555,Acute and fulminating melioidosis
DC2557,Endocardial fibroelastosis
DC2558,Occupational health examination
DC256,Glossitis
DC2560,Other benign neoplasms of male genital organ_ unspecified
DC2562,Unspecified abnormal findings in specimens from male genital organs
DC2563,Other secondary scoliosis_ lumbar region
DC2565,Other infective(teno) synovitis_ hand(carpus_ fingers_ metacarpus_ joints between these bones)
DC2566,Acute transverse myelitis in demyelinating disease of central nervous system
DC2567,Perinatal intestinal perforation
DC2568,Acute gastrojejunal ulcer with perforation
DC2569,Social anxiety disorder of childhood
DC2573,Intrauterine hypoxia_ unspecified
DC2574,Neoplasm of uncertain or unknown behavior of respiratory organ_ unspecified
DC2575,Malignant neoplasm of bone and articular cartilage of limb_ unspecified
DC2576,Osteosarcoma NOS
